iter	Passed	Remaining
0	12	12723
1	13	6595
2	13	4570
3	14	3534
4	14	2923
5	15	2507
6	15	2232
7	16	2001
8	16	1818
9	16	1669
10	17	1546
11	17	1454
12	18	1371
13	18	1337
14	19	1275
15	19	1227
16	20	1174
17	20	1127
18	20	1083
19	21	1044
20	21	1010
21	22	980
22	22	959
23	23	938
24	23	913
25	23	891
26	24	869
27	24	849
28	24	829
29	25	812
30	25	796
31	25	781
32	26	767
33	26	754
34	26	741
35	27	730
36	27	719
37	28	710
38	28	702
39	28	692
40	29	683
41	29	673
42	29	666
43	30	660
44	30	655
45	31	648
46	31	641
47	31	633
48	32	629
49	32	624
50	33	622
51	33	615
52	34	611
53	34	607
54	35	602
55	35	596
56	35	591
57	36	586
58	36	580
59	36	575
60	37	571
61	37	570
62	38	568
63	38	564
64	38	560
65	39	556
66	39	552
67	40	548
68	40	544
69	40	540
70	41	536
71	41	532
72	41	529
73	42	525
74	42	521
75	42	518
76	43	515
77	43	512
78	43	509
79	44	506
80	44	504
81	44	502
82	45	498
83	45	495
84	45	493
85	46	490
86	46	488
87	46	486
88	47	485
89	47	483
90	48	483
91	48	480
92	49	478
93	49	477
94	49	476
95	50	474
96	50	472
97	51	470
98	51	469
99	52	468
100	52	467
101	52	465
102	53	463
103	53	461
104	53	459
105	54	457
106	54	455
107	54	453
108	55	451
109	55	449
110	55	448
111	56	446
112	56	445
113	57	443
114	57	443
115	57	441
116	58	440
117	58	438
118	59	436
119	59	435
120	59	433
121	59	431
122	60	429
123	60	428
124	61	427
125	61	425
126	61	423
127	62	426
128	63	427
129	63	426
130	64	424
131	64	423
132	64	422
133	65	422
134	65	421
135	66	420
136	66	419
137	66	417
138	67	416
139	67	415
140	67	414
141	68	411
142	68	410
143	68	409
144	69	408
145	69	406
146	69	405
147	70	404
148	70	403
149	70	401
150	71	400
151	71	400
152	72	399
153	72	398
154	72	397
155	73	396
156	73	395
157	73	394
158	74	392
159	74	392
160	74	390
161	75	389
162	75	389
163	76	388
164	76	388
165	77	388
166	77	389
167	80	397
168	80	397
169	81	396
170	81	397
171	88	425
172	88	424
173	89	424
174	90	424
175	92	431
176	96	449
177	97	449
178	97	449
179	98	448
180	98	447
181	99	446
182	99	445
183	100	443
184	100	442
185	103	453
186	104	452
187	104	451
188	105	452
189	105	451
190	107	454
191	108	454
192	108	454
193	110	461
194	111	460
195	112	459
196	112	458
197	112	457
198	113	456
199	117	469
200	117	468
201	118	467
202	119	467
203	119	466
204	120	465
205	120	464
206	120	463
207	121	462
208	127	483
209	128	482
210	128	480
211	130	485
212	130	483
213	134	492
214	136	499
215	139	504
216	140	507
217	143	513
218	143	512
219	144	512
220	145	512
221	145	510
222	146	509
223	146	509
224	147	507
225	147	506
226	148	504
227	148	502
228	148	501
229	149	499
230	149	498
231	150	496
232	151	497
233	196	641
234	196	639
235	196	636
236	197	634
237	197	631
238	197	629
239	197	626
240	198	624
241	198	622
242	199	621
243	199	618
244	200	616
245	200	614
246	201	613
247	201	612
248	203	614
249	206	620
250	207	619
251	208	619
252	209	619
253	210	617
254	210	615
255	210	613
256	211	611
257	211	608
258	212	606
259	212	604
260	214	608
261	215	607
262	220	616
263	220	615
264	221	614
265	222	613
266	222	611
267	223	609
268	223	607
269	223	605
270	224	603
271	224	601
272	225	599
273	226	599
274	227	600
275	228	598
276	228	597
277	229	596
278	230	595
279	231	595
280	232	594
281	233	593
282	233	591
283	233	589
284	234	587
285	234	585
286	236	586
287	236	585
288	237	583
289	238	582
290	241	589
291	242	588
292	243	587
293	243	585
294	244	583
295	244	581
296	244	579
297	245	577
298	245	576
299	246	576
300	247	574
301	247	572
302	247	570
303	248	568
304	248	566
305	248	564
306	249	562
307	249	561
308	250	560
309	251	560
310	252	558
311	256	566
312	257	564
313	257	562
314	258	561
315	258	559
316	258	557
317	259	556
318	259	554
319	259	552
320	261	554
321	262	552
322	266	559
323	267	557
324	268	557
325	270	558
326	270	557
327	275	564
328	276	563
329	276	561
330	277	560
331	277	559
332	279	558
333	281	561
334	282	559
335	282	558
336	283	557
337	284	556
338	284	555
339	285	553
340	287	555
341	291	559
342	302	578
343	302	577
344	303	576
345	304	576
346	305	575
347	306	573
348	307	573
349	307	571
350	309	571
351	313	576
352	314	577
353	321	586
354	331	602
355	333	602
356	339	612
357	340	610
358	341	609
359	341	607
360	342	606
361	344	607
362	345	605
363	346	604
364	346	602
365	349	605
366	350	605
367	351	603
368	351	601
369	352	599
370	352	597
371	352	595
372	353	593
373	353	592
374	354	590
375	354	588
376	357	591
377	358	590
378	360	590
379	360	588
380	361	586
381	361	584
382	361	582
383	362	580
384	362	578
385	362	577
386	363	575
387	363	573
388	363	571
389	364	569
390	364	567
391	364	565
392	365	563
393	365	562
394	366	561
395	367	560
396	367	558
397	368	557
398	372	560
399	373	560
400	375	560
401	375	558
402	375	556
403	376	555
404	376	553
405	377	551
406	377	549
407	377	548
408	378	546
409	379	546
410	380	545
411	381	544
412	382	543
413	382	541
414	383	540
415	383	538
416	384	536
417	384	535
418	385	534
419	385	532
420	386	531
421	386	529
422	387	528
423	387	526
424	387	524
425	388	523
426	388	521
427	389	520
428	389	518
429	389	516
430	390	514
431	390	513
432	390	511
433	390	509
434	391	508
435	391	506
436	391	504
437	392	503
438	392	501
439	392	500
440	393	498
441	393	496
442	393	495
443	394	493
444	394	492
445	394	490
446	395	488
447	395	487
448	395	485
449	396	484
450	396	482
451	396	480
452	396	479
453	398	479
454	399	478
455	399	476
456	400	475
457	400	474
458	401	472
459	401	471
460	401	469
461	402	468
462	402	466
463	402	465
464	403	463
465	403	462
466	403	460
467	403	459
468	404	457
469	404	456
470	404	454
471	405	453
472	405	451
473	405	450
474	406	448
475	406	447
476	406	445
477	407	444
478	407	443
479	407	441
480	408	440
481	408	438
482	408	437
483	408	436
484	409	434
485	409	433
486	409	431
487	410	430
488	410	429
489	410	427
490	411	426
491	411	424
492	411	423
493	413	423
494	413	421
495	413	420
496	414	419
497	414	417
498	414	416
499	415	415
500	415	413
501	415	412
502	416	411
503	416	410
504	416	408
505	417	407
506	417	405
507	417	404
508	418	403
509	418	401
510	418	400
511	419	399
512	419	398
513	419	396
514	420	395
515	420	394
516	420	392
517	420	391
518	421	390
519	421	389
520	421	387
521	422	386
522	422	385
523	422	384
524	423	382
525	423	381
526	423	380
527	424	379
528	424	377
529	424	376
530	424	375
531	425	374
532	425	372
533	426	371
534	426	370
535	426	369
536	428	369
537	428	367
538	428	366
539	429	365
540	429	364
541	429	363
542	429	361
543	430	360
544	430	359
545	430	358
546	431	357
547	431	356
548	431	354
549	432	353
550	432	352
551	432	351
552	433	350
553	433	349
554	434	347
555	434	346
556	434	345
557	435	344
558	435	343
559	435	342
560	436	341
561	436	340
562	437	339
563	437	338
564	437	336
565	438	335
566	438	335
567	439	334
568	440	333
569	440	332
570	441	331
571	441	330
572	442	329
573	442	328
574	443	327
575	443	326
576	443	325
577	444	324
578	444	323
579	444	322
580	445	321
581	445	320
582	446	319
583	446	318
584	446	317
585	447	315
586	447	314
587	447	313
588	448	312
589	448	311
590	448	310
591	449	309
592	450	308
593	450	307
594	450	306
595	451	305
596	451	304
597	451	303
598	452	302
599	452	301
600	452	300
601	453	299
602	453	298
603	454	297
604	454	296
605	454	295
606	456	295
607	456	294
608	456	293
609	457	292
610	457	291
611	457	290
612	458	289
613	458	288
614	459	287
615	459	286
616	459	285
617	460	284
618	460	283
619	460	282
620	461	281
621	461	280
622	462	279
623	462	278
624	462	277
625	463	276
626	463	275
627	464	275
628	464	274
629	464	273
630	465	272
631	465	271
632	465	270
633	466	269
634	466	268
635	466	267
636	467	266
637	467	265
638	467	264
639	468	263
640	468	262
641	468	261
642	469	260
643	469	260
644	469	259
645	470	258
646	470	257
647	471	256
648	471	255
649	472	254
650	472	253
651	472	252
652	473	251
653	514	272
654	514	271
655	515	270
656	516	270
657	516	269
658	518	268
659	518	267
660	518	266
661	523	267
662	524	266
663	524	265
664	525	264
665	525	264
666	525	263
667	526	262
668	526	261
669	535	264
670	540	265
671	540	264
672	543	264
673	549	266
674	550	265
675	550	264
676	551	263
677	552	263
678	552	261
679	567	267
680	567	266
681	573	267
682	573	267
683	578	268
684	581	268
685	581	267
686	582	266
687	583	265
688	584	264
689	610	274
690	613	275
691	614	274
692	615	273
693	616	272
694	617	271
695	618	270
696	618	269
697	620	269
698	626	270
699	628	270
700	629	269
701	630	268
702	630	267
703	631	266
704	631	265
705	632	264
706	633	263
707	633	262
708	634	261
709	635	260
710	637	259
711	638	258
712	639	257
713	639	256
714	642	256
715	642	255
716	643	254
717	644	253
718	645	252
719	645	251
720	645	250
721	646	249
722	647	248
723	648	247
724	649	246
725	650	246
726	651	245
727	694	260
728	696	259
729	698	259
730	698	257
731	699	256
732	700	255
733	701	254
734	701	253
735	702	252
736	703	251
737	704	250
738	704	249
739	706	248
740	707	247
741	708	246
742	709	246
743	710	245
744	711	244
745	713	243
746	714	242
747	717	242
748	720	242
749	721	241
750	722	240
751	723	239
752	724	238
753	724	237
754	725	235
755	725	234
756	726	233
757	727	232
758	738	235
759	739	234
760	752	237
761	753	235
762	754	234
763	754	233
764	755	232
765	761	233
766	762	232
767	763	231
768	763	229
769	764	228
770	764	227
771	767	227
772	769	226
773	793	232
774	803	233
775	814	235
776	817	235
777	826	236
778	827	235
779	828	234
780	869	244
781	869	243
782	870	241
783	871	240
784	871	239
785	872	238
786	873	237
787	874	235
788	875	234
789	875	233
790	876	232
791	877	231
792	878	229
793	878	228
794	879	227
795	880	226
796	881	225
797	882	223
798	882	222
799	883	221
800	883	220
801	884	218
802	884	217
803	885	216
804	886	215
805	887	214
806	887	212
807	888	211
808	888	210
809	889	209
810	889	207
811	890	206
812	892	205
813	893	204
814	893	203
815	895	202
816	896	201
817	897	200
818	899	199
819	901	198
820	902	197
821	903	196
822	904	194
823	906	194
824	907	192
825	908	191
826	908	190
827	909	189
828	911	188
829	911	187
830	912	186
831	913	184
832	913	183
833	914	182
834	914	181
835	915	180
836	916	178
837	916	177
838	917	176
839	919	175
840	921	174
841	922	173
842	923	172
843	923	171
844	924	169
845	925	168
846	926	167
847	927	166
848	927	165
849	928	164
850	928	162
851	928	161
852	929	160
853	929	159
854	929	158
855	930	156
856	930	155
857	931	154
858	931	153
859	932	152
860	932	150
861	934	149
862	935	148
863	935	147
864	936	146
865	936	145
866	937	144
867	937	142
868	938	141
869	938	140
870	939	139
871	939	138
872	940	137
873	941	136
874	942	135
875	943	133
876	944	132
877	944	131
878	944	130
879	945	129
880	946	128
881	947	127
882	948	125
883	949	124
884	949	123
885	950	122
886	950	121
887	951	120
888	952	119
889	952	118
890	954	116
891	954	115
892	955	114
893	956	113
894	956	112
895	957	111
896	957	110
897	958	109
898	959	108
899	959	106
900	960	105
901	960	104
902	961	103
903	962	102
904	963	101
905	964	100
906	964	99
907	965	98
908	966	96
909	966	95
910	967	94
911	968	93
912	969	92
913	969	91
914	970	90
915	971	89
916	971	88
917	972	87
918	972	85
919	973	84
920	974	83
921	986	83
922	988	82
923	990	81
924	1003	81
925	1004	80
926	1005	79
927	1007	78
928	1007	77
929	1008	76
930	1009	74
931	1009	73
932	1010	72
933	1019	72
934	1025	71
935	1035	70
936	1036	69
937	1063	70
938	1063	69
939	1064	68
940	1065	66
941	1066	65
942	1066	64
943	1067	63
944	1068	62
945	1069	61
946	1069	60
947	1070	58
948	1071	57
949	1072	56
950	1072	55
951	1073	54
952	1074	53
953	1075	51
954	1076	50
955	1076	49
956	1077	48
957	1079	47
958	1080	46
959	1081	45
960	1082	44
961	1083	42
962	1084	41
963	1086	40
964	1097	39
965	1098	38
966	1098	37
967	1101	36
968	1102	35
969	1103	34
970	1106	33
971	1107	31
972	1108	30
973	1109	29
974	1110	28
975	1110	27
976	1111	26
977	1112	25
978	1113	23
979	1115	22
980	1154	22
981	1155	21
982	1155	20
983	1156	18
984	1156	17
985	1161	16
986	1162	15
987	1162	14
988	1163	12
989	1165	11
990	1165	10
991	1166	9
992	1166	8
993	1170	7
994	1175	5
995	1175	4
996	1176	3
997	1178	2
998	1178	1
999	1179	0
